Año,Trimestre,Provincia,Tot_Vel_Media_DL_Trim_x_Prov,Tot_Acc_ADSL_x_Prov,Tot_Acc_CaModem_x_Prov,Tot_Acc_FO_x_Prov,Tot_Acc_Wireless_x_Prov,Tot_Acc_Otros_x_Prov,Tot_Acc_x_Prov,Tot_pntrcion_x_c100_Habi_x_Prov,Tot_pntrcion_x_c100_Hoga_x_Prov,Tot_Acc_rango_0->512_kbps_x_Prov,Tot_Acc_rango_0.512->1_Mbps_x_Prov,Tot_Acc_rango_1->6_Mbps_x_Prov,Tot_Acc_rango_6->10_Mbps_x_Prov,Tot_Acc_rango_10->20_Mbps_x_Prov,Tot_Acc_rango_20->30_Mbps_x_Prov,Tot_Acc_rango_>30_Mbps_x_Prov,Tot_Acc_rango_Otros_Mbps_x_Prov,Tot_Acc_rango_Mbps_x_Prov
2014,3,Misiones,3.57752385757149,56933.0,18373.0,4.0,3.0,14.0,75327.0,6.39977366685188,23.5673569543455,640.0,13637.0,53510.0,5928.0,1606.0,0.0,1.0,0.0,75322.0
2014,3,Neuquen,3.7429104879161,54458.0,30964.0,1000.0,12858.0,3087.0,102367.0,16.7266886493093,56.3954110270698,1522.0,3099.0,80090.0,107.0,2865.0,10.0,27.0,0.0,87720.0
2014,3,Rio Negro,3.47997917029004,65264.0,26590.0,888.0,3533.0,1505.0,97780.0,14.1599328062096,46.1961871578301,3640.0,5189.0,86868.0,87.0,1944.0,8.0,9.0,0.0,97745.0
2014,3,Salta,3.41091036248803,73828.0,18394.0,43.0,109.0,580.0,92954.0,7.05354927369401,29.2226843537979,732.0,17481.0,66026.0,8314.0,388.0,0.0,0.0,0.0,92941.0
2014,3,San Juan,3.47372598559039,48272.0,451.0,731.0,1199.0,1126.0,51779.0,7.07524804156139,27.8542444781027,8.0,487.0,51276.0,0.0,0.0,0.0,0.0,0.0,51771.0
2014,3,San Luis,3.50311319018405,11303.0,925.0,355.0,25.0,438.0,13046.0,2.77005134128578,9.71121075967275,8.0,0.0,13029.0,0.0,0.0,3.0,0.0,0.0,13040.0
2014,3,Santa Cruz,3.30732226015574,17862.0,492.0,385.0,4273.0,3098.0,26110.0,8.34323913237982,28.231942904275,195.0,1624.0,24248.0,1.0,1.0,0.0,0.0,0.0,26069.0
2014,3,Santa Fe,3.37559291224911,325577.0,183630.0,4407.0,6540.0,733.0,520887.0,15.4379886546179,49.1958844455727,8230.0,112593.0,357615.0,23962.0,12124.0,38.0,806.0,0.0,515368.0
2014,3,Santiago Del Estero,3.09954651038892,32820.0,3900.0,19.0,768.0,41.0,37548.0,4.08216959029359,16.4922039083019,791.0,9914.0,23826.0,2867.0,142.0,0.0,0.0,0.0,37540.0
2014,3,Tierra Del Fuego,3.47098171141966,21840.0,3469.0,650.0,1.0,2832.0,28792.0,19.3443922627806,65.6861020447619,12.0,336.0,32348.0,2.0,0.0,0.0,0.0,0.0,32698.0
