,Fecha,Año,Trimestre,Provincia,Tot_Vel_Media_DL_Trim_x_Prov,Tot_Acc_ADSL_x_Prov,Tot_Acc_CaModem_x_Prov,Tot_Acc_FO_x_Prov,Tot_Acc_Wireless_x_Prov,Tot_Acc_Otros_x_Prov,Tot_Acc_x_Prov,Tot_pntrcion_x_c100_Habi_x_Prov,Tot_pntrcion_x_c100_Hoga_x_Prov,Tot_Acc_rango_0->512_kbps_x_Prov,Tot_Acc_rango_0.512->1_Mbps_x_Prov,Tot_Acc_rango_1->6_Mbps_x_Prov,Tot_Acc_rango_6->10_Mbps_x_Prov,Tot_Acc_rango_10->20_Mbps_x_Prov,Tot_Acc_rango_20->30_Mbps_x_Prov,Tot_Acc_rango_>30_Mbps_x_Prov,Tot_Acc_rango_Otros_Mbps_x_Prov,Tot_Acc_rango_Mbps_x_Prov,Tasa_Crec_Accesos_x_Prov,Tasa_Crec_Pntcion_xc100_Hoga_x_Prov,Tasa_Crec_Pntcion_xc100_Habi_x_Prov,Tasa_Crec_Acc_ADSL_x_Prov,Tasa_Crec_Acc_CaModem_x_Prov,Tasa_Crec_Acc_FO_x_Prov,Tasa_Crec_Acc_Wireless_x_Prov,Tasa_Crec_Acc_Otros_x_Prov,Tasa_Crec_Acc_rango_0->512_kbps_x_Prov,Tasa_Crec_Acc_rango_0.512->1_Mbps_x_Prov,Tasa_Crec_Acc_rango_1->6_Mbps_x_Prov,Tasa_Crec_Acc_rango_6->10_Mbps_x_Prov,Tasa_Crec_Acc_rango_10->20_Mbps_x_Prov,Tasa_Crec_Acc_rango_20->30_Mbps_x_Prov,Tasa_Crec_Acc_rango_>30_Mbps_x_Prov,Tasa_Crec_Acc_rango_Otros_Mbps_x_Prov
426,2018-04-01,2018,2,Cordoba,13.8768094063495,345141.0,327636.0,13832.0,16355.0,10109.0,713073.0,19.373198551696,63.2743661231958,81.0,21779.0,219630.0,102596.0,244291.0,78852.0,34950.0,8110.0,710289.0,0.5478074920981069,0.2950876583926343,0.27155465037338455,-7.586916924051634,0.001957636740934632,3.302998965873827,0.9343496434718546,-2.7977617905675434,3267.787931034483,517.2880919220056,746.4936818616513,220.52499374113327,28.257801491918766,6876.156250000001,114.61771420543351,221.2220562030963
453,2018-07-01,2018,3,Cordoba,14.8182495375679,337620.0,342401.0,15785.0,19213.0,10839.0,725858.0,19.6691574967699,64.2421002602934,81.0,24767.0,224471.0,96372.0,221984.0,109333.0,39854.0,6490.0,723352.0,-0.47232131060905846,-0.6823578526835572,-0.6821616817436094,-20.60711900970774,7.391246859711753,-1.0412494993992771,-1.055662188099804,-8.002038735983685,23.628691983122362,-90.4834296138644,1.1839312317894812,16.51469098277609,21.104903786468032,-5.298013245033117,42.61424017003188,-3.213844252163167
471,2018-10-01,2018,4,Cordoba,15.8136674336298,328854.0,355716.0,17675.0,21851.0,13243.0,737339.0,19.9284311751423,65.0892645911237,81.0,24102.0,228475.0,97277.0,201639.0,128053.0,48809.0,8903.0,737339.0,0.874012848316208,0.6766842471887857,0.6644518272425293,-0.9643483343074188,-0.611781453362259,4.696816289796368,-0.8688582897210528,-0.3616636528028905,0.0,-6.2720225510923155,-2.8432655414846186,-1.4820818618653364,0.8672229157085543,-3.075768942235557,7.529496283606418,0.1250781738586726
481,2019-01-01,2019,1,Cordoba,15.7348642286459,323272.0,363959.0,19902.0,24615.0,12367.0,744115.0,20.0595276926967,65.5173840768055,81.0,20403.0,242769.0,96997.0,200681.0,127965.0,50716.0,6806.0,746418.0,-1.4233404205055478,-2.785091480484836,-1.765419452136907,-1.4272178135733782,0.0,0.0,0.0,0.0,0.0,-7.0368334249587665,-0.7340856798509932,1.4640789921688713,3.2098765432098775,0.0,0.0,0.0
515,2019-04-01,2019,2,Cordoba,18.4315178319128,314768.0,388254.0,23023.0,33847.0,15236.0,775128.0,20.8416372422382,68.0713093878985,81.0,8165.0,248427.0,100512.0,157458.0,170159.0,76053.0,8938.0,769793.0,314.587623833245,-33.60793131682196,-25.709742529667835,4964.164169201242,228.02989507260918,108.45276078526132,96.0948935935009,21556.80569347898,-5.263157894736848,15.384615384615374,31.939501779359425,37.808641975308646,0.5464923288669432,3.676794363716418,-1.7466618549260238,0.0
531,2019-07-01,2019,3,Cordoba,23.1934023649398,307780.0,399231.0,30064.0,37277.0,8701.0,783053.0,21.0007817769535,68.5923490106902,83.0,5824.0,240151.0,106651.0,118486.0,146247.0,157546.0,7353.0,782341.0,-6.410689330929753,-6.663802798733176,-6.664200271066334,-0.7400867329715122,-52.30851189771517,8.766233766233755,21300.0,2.893890675241151,-18.75,1643.157894736842,12.107079975514479,280.8695652173913,314.92537313432837,0.0,326.3157894736843,0.0
553,2019-10-01,2019,4,Cordoba,26.1622806145129,296872.0,410038.0,53335.0,37750.0,8693.0,806688.0,21.5794971664284,70.4829556624422,142.0,0.0,232781.0,118232.0,109330.0,114111.0,221742.0,10350.0,806688.0,1.5893167337271752,1.3424124513618851,1.3947001394700065,-32.797641183658286,-2.3711284236814234,12.66799533218823,0.061612061467086754,-37.53983428935628,0.0,0.0,10.739463484603418,0.8264065728150749,8.350458296636987,-15.931144490229965,4.2040801878443945,-29.845180779760216
585,2020-01-01,2020,1,Cordoba,29.3947878350613,286168.0,406109.0,68512.0,41617.0,8693.0,811099.0,21.6423266904036,70.6880744339108,142.0,5128.0,217229.0,120188.0,95827.0,65733.0,296875.0,9802.0,810924.0,2.027932164742774,1.752821980383934,1.7498452746085968,-1.1753819499133678,4.687437078003143,-0.2714230321830158,3.7963241940343506,-1.8354637823664421,0.0,0.0,-2.1621892793538544,2.09115055440785,-1.9020608810739303,11.0361641609102,7.732155894725867,1.538283599352308
619,2020-04-01,2020,2,Cordoba,30.9875776371395,282858.0,415007.0,85818.0,44522.0,8263.0,836468.0,22.2626297682841,72.7135853124239,168.0,4383.0,219025.0,125932.0,89530.0,63216.0,325243.0,8971.0,836468.0,-1.7429581944479744,-2.0816857318311954,-2.080294012734285,-0.17339555593611777,-4.0256391632771615,-0.20000000000000018,1.975169300225743,0.0,0.0,1.7321504013519284,-5.7728526266227265,0.22883295194509046,-8.944574658761894,28.149139973220727,15.89861751152073,0.0
636,2020-07-01,2020,3,Cordoba,33.5111949741979,276360.0,430771.0,102217.0,48368.0,9756.0,867472.0,23.0297083535099,75.2203572366921,168.0,3064.0,218599.0,124833.0,84236.0,63823.0,361021.0,11728.0,867472.0,0.7365652474562889,0.437390652336922,0.43053492047804287,-1.3344986386097046,1.2148721714171362,1.9844573966139256,0.4055387088524265,-0.2680965147453085,0.0,-0.800800800800805,-0.8782774429506035,-6.544537368910131,-0.05431830526887449,228.59244727807751,2.248577589566403,-20.617620345140786
